10 NAT2 00232+2.3.1.5 0.448149231 3.766170637
10 NAT2 00633+2.3.1.5 0.448149231 3.766170637
10 NAT2 00983+2.3.1.5 0.448149231 3.766170637
100 ADA  1.976790566 2.200121759
375612 LHFPL3  0 0
375616 KCP  0 0.326328672
375686 SPATC1  0 0.074341092
3757 KCNH2  0 2.365256538
375704 ENHO  0.353511395 1.048083542
375743 PTAR1  2.532978449 3.307486812
375748 ERCC6L2  2.678957404 2.998828328
375757 SWI5  3.020752825 2.85865722
375775 PNPLA7  0.132214463 1.612045753
375790 AGRN  3.75748413 2.794696134
375791 CYSRT1  0.132214463 0
3758 KCNJ1  0 0
3759 KCNJ2  0 0.933534465
3760 KCNJ3  0 1.198525417
376132 LRRC10  0 0
3762 KCNJ5  0 0.326328672
376267 RAB15  3.6044736 2.328340455
3763 KCNJ6  0 0.527427501
3764 KCNJ8  3.692742005 1.794475823
376497 SLC27A1  1.042955075 1.349486137
3765 KCNJ9  0 0
3766 KCNJ10  0.24897202 0.143535956
3767 KCNJ11  0.353511395 0.380519845
3769 KCNJ13  0.756509028 4.693164302
376940 ZC3H6  0.687869026 2.827187967
377 ARF3  5.249196005 4.594453028
3770 KCNJ14  0 0
377007 KLHL30  0 0.326328672
3772 KCNJ15  0 0.208251188
3773 KCNJ16  2.203551749 2.02284519
3775 KCNK1  0.132214463 3.370442376
3776 KCNK2  0 0.074341092
377630 USP17L2  0 0
377677 CA13 00910+4.2.1.1 3.264263893 4.511543256
3777 KCNK3  0.132214463 1.832236244
3778 KCNMA1  2.139090722 3.401779994
377841 ENTPD8  1.629091327 3.632628454
3779 KCNMB1  0 3.444558363
378 ARF4  6.123456372 5.544207818
3780 KCNN1  0 0
3781 KCNN2  0.132214463 0.143535956
3782 KCNN3  0.132214463 2.379649655
3783 KCNN4  0.687869026 0.694777878
3784 KCNQ1  0 3.866346325
3785 KCNQ2  0.132214463 0.143535956
3786 KCNQ3  0 0.074341092
3787 KCNS1  0 0
3788 KCNS2  0 0
378884 NHLRC1  0.132214463 0.527427501
378925 RNF148  0 0
379 ARL4D  2.139090722 1.287556692
3790 KCNS3  0 1.498022909
3791 KDR  0 1.844512708
3792 KEL  0.132214463 0
3795 KHK 00051+2.7.1.3 1.224658046 4.972515103
3796 KIF2A  3.989121107 4.114079268
3797 KIF3C  1.479892557 1.329266151
3798 KIF5A  0 1.498022909
3799 KIF5B  4.871215463 4.79072337
38 ACAT1  5.22667379 4.293673612
3800 KIF5C  0.448149231 1.287556692
3801 KIFC3  2.814821177 3.471294173
381 ARF5  4.198521755 4.135291413
3814 KISS1  0 0
3815 KIT  1.629091327 3.043955942
3816 KLK1  0 1.657194914
3817 KLK2  0 0
3818 KLKB1  0 0
382 ARF6  3.760778218 4.723101286
3820 KLRB1  0 3.05492667
3821 KLRC1  0 1.074781905
3822 KLRC2  0 0.143535956
3824 KLRD1  0 2.636572714
3827 KNG1  1.042955075 0
383 ARG1 00220+3.5.3.1 0 0.074341092
383 ARG1 00330+3.5.3.1 0 0.074341092
3831 KLC1  3.208717039 3.388841787
3832 KIF11  3.600621136 1.856640286
3833 KIFC1  3.812059264 1.819807194
3835 KIF22  4.148465011 2.58555793
3836 KPNA1  4.109786425 4.068936969
3837 KPNB1  5.827593545 4.73129829
3838 KPNA2  6.047227767 3.051283117
3839 KPNA3  4.369788243 3.571615676
384 ARG2 00220+3.5.3.1 3.061278519 3.354397437
384 ARG2 00330+3.5.3.1 3.061278519 3.354397437
3840 KPNA4  3.446518372 3.874391969
3841 KPNA5  2.639377462 2.002216907
3842 TNPO1  4.655646677 4.087239145
3843 IPO5  5.593153901 3.471294173
3845 KRAS  4.666340901 3.666736961
3848 KRT1  0 0.732578551
3849 KRT2  0 0
3850 KRT3  0 0
3851 KRT4  0.132214463 0
3852 KRT5  0 0.074341092
3853 KRT6A  0.132214463 0
3854 KRT6B  0 0
3855 KRT7  0 0.326328672
3856 KRT8  4.877694446 4.901648162
3857 KRT9  0 0
3858 KRT10  0 0.480815757
3859 KRT12  0 0
3860 KRT13  0 0.143535956
3861 KRT14  0 0.269031705
3866 KRT15  1.042955075 0.431924683
386617 KCTD8  0 0
386618 KCTD4  0 0.431924683
386653 IL31  0 0
386676 KRTAP10-9  0 0
386682 KRTAP10-3  0 0
386724 AMIGO3  0.687869026 0.480815757
3868 KRT16  0 0
387 RHOA  6.166195659 6.325680026
387032 ZKSCAN4  1.18223294 1.892164759
387103 CENPW  4.280020874 1.741802763
387104 SOGA3  0 0.732578551
387119 CEP85L  0.24897202 2.225448608
387129 NPSR1  0 0
3872 KRT17  0 0
387263 C6orf120  2.771552284 3.346277383
387338 NSUN4  2.155599698 2.225448608
387357 THEMIS  0 2.653015251
387496 RASL11A  2.33498478 3.357089535
3875 KRT18  7.964591054 5.907353322
387509 GPR153  0.687869026 2.931196759
387522 TMEM189-UBE2V1  0.991857044 0.61459938
387597 ILDR2  0.132214463 0.269031705
387640 SKIDA1  1.042955075 0.527427501
387680 WASHC2A  4.100463967 3.128525939
387695 C10orf99  0 1.515129711
387700 SLC16A12  0 0
387712 ENO4 00010+4.2.1.11 0 0.143535956
387712 ENO4 00680+4.2.1.11 0 0.143535956
387715 ARMS2  0 0
387718 TEX36  0 0
387723 C10orf143  0.448149231 1.266030907
387733 IFITM5  0 0
387755 INSC  0 1.150849339
387758 FIBIN  0 1.728189277
387763 C11orf96  0 5.090834992
387775 SLC22A10  0 0
387778 SPDYC  0 0
387787 LIPT2  2.033867958 1.462905526
387787 LIPT2 00785+2.3.1.181 2.033867958 1.462905526
387804 VSTM5  0 0.074341092
387836 CLEC2A  0 0
387837 CLEC12B  0 0
387849 REP15  0 2.258249804
387856 CCDC184  0.534599975 0.61459938
387882 C12orf75  5.099745026 3.12174528
387885 CFAP73  0.132214463 0
387890 TMEM233  0 0.380519845
387893 KMT5A  3.125372424 2.808750672
387893 KMT5A 00310+2.1.1.43 3.125372424 2.808750672
387921 NHLRC3  3.006870894 2.705949504
387923 SERP2  0 1.12613091
387990 TOMM20L  0.448149231 0.143535956
388 RHOB  2.726326188 4.274523229
3880 KRT19  6.892025531 6.709834944
388021 TMEM179  0 0.269031705
3881 KRT31  0 0
388115 CCDC9B  0 2.365256538
388121 TNFAIP8L3  0.132214463 1.244031549
388125 C2CD4B  0.353511395 2.200121759
388228 SBK1 04150+2.7.11.1 1.683049873 0.480815757
388228 SBK1 04151+2.7.11.1 1.683049873 0.480815757
388228 SBK1 04714+2.7.11.1 1.683049873 0.480815757
388228 SBK1 04926+2.7.11.1 1.683049873 0.480815757
388228 SBK1 05165+2.7.11.1 1.683049873 0.480815757
388272 C16orf87  2.992793538 3.072947922
388284 C16orf86  0.24897202 0.870931311
3883 KRT33A  0 0
388323 GLTPD2  2.087862681 2.365256538
388324 INCA1  0 0.208251188
388325 SCIMP  0 2.721298394
388327 C17orf100  1.57205436 1.819807194
388333 SPDYE4  0 0
388335 TMEM220  0 3.151902592
388336 SHISA6  0.24897202 0
388341 LRRC75A  0.614168056 4.151214191
388364 TMIGD1  0 3.612007369
388389 CCDC103  0.353511395 0.326328672
388389 FAM187A  0.353511395 0.326328672
388394 RPRML  0 0.269031705
388403 YPEL2  0.881090702 2.679832591
388419 BTBD17  0 0.074341092
388512 CLEC17A  0 0.527427501
388531 RGS9BP  0.24897202 0.074341092
388533 KRTDAP  0 0
388536 ZNF790  0 2.120048916
388552 BLOC1S3  2.122304618 2.428454209
388553 BHMG1  0 0
388555 IGFL3  0.24897202 0
388558 ZNF808  1.413366475 2.062867456
388564 TMEM238  3.720514385 4.843779334
388566 ZNF470  0 1.266030907
388567 ZNF749  1.629091327 2.266284705
388569 ZNF324B  0.820738686 1.287556692
388581 C1QTNF12  0.132214463 2.608553038
388585 HES5  0 0.571963007
388588 SMIM1  0.534599975 0.694777878
388591 RNF207  0.534599975 1.580772539
388595 TMEM82  1.542267634 3.487943081
3886 KRT35  0 0
388610 TRNP1  2.203551749 1.349486137
388611 CD164L2  0 0
388630 TRABD2B  0.24897202 0.902722703
388633 LDLRAD1  0 0.074341092
388646 GBP7  0 0
388649 C1orf146  0 0
388650 DIPK1A  1.629091327 2.679832591
388662 SLC6A17  0 0.074341092
388695 LYSMD1  1.09156854 2.258249804
388698 FLG2  0 0
3887 KRT81  0.448149231 0.074341092
388701 C1orf189  0 0
388722 C1orf53  1.957017105 1.388739411
388743 CAPN8  0 0
388753 COA6  3.839789654 3.267130596
388789 SMIM26  4.057402785 4.016111914
388813 SAMSN1  0 0
388818 KRTAP26-1  0 0
388849 CCDC188  0 0
388886 LRRC75B  2.087862681 2.474987306
3889 KRT83  0 0
388931 MFSD2B  0 0.074341092
388939 PCARE  0 0
388946 TMEM247  0 0
388951 TSPYL6  0 0
388962 BOLA3  4.392774733 3.327070174
388963 C2orf81  1.708975197 0.571963007
388969 C2orf68  3.619736733 3.660801729
389 RHOC  4.16176678 5.599386818
3890 KRT84  0 0
389015 SLC9A4  0.534599975 0.074341092
389058 SP5  4.355375513 1.174971477
389072 PLEKHM3  1.829386548 2.191534898
389073 C2orf80  0 0
389075 RESP18  0 0.074341092
389084 SNORC  0 1.480618363
3891 KRT85  0 0
389114 ZNF662  0.756509028 1.287556692
389118 CDHR4  0 0
389119 INKA1  0 0.61459938
389123 IQCF2  0 0
389124 IQCF5  0 0
389125 MUSTN1  0.687869026 2.918772063
389136 VGLL3  2.122304618 1.856640286
389158 PLSCR5  0 0.074341092
389161 ANKUB1  0 0.326328672
389170 LEKR1  1.542267634 1.150849339
389177 TMEM212  0 0
3892 KRT86  0 0
389203 SMIM20  2.999856987 3.652832888
389206 BEND4  0 0.571963007
389208 TMPRSS11F  0 0
389257 LRRC14B  0 0
389289 ANXA2R  0.820738686 1.642370539
389320 TEX43  0 0
389332 SMIM32  0 2.258249804
389333 PROB1  0 0.380519845
389336 C5orf46  0 0
389337 ARHGEF37  0.687869026 2.233750324
389362 PSMG4  2.475208651 2.804087739
389376 SFTA2  1.57205436 0
389383 CLPSL2  0.132214463 0
389384 C6orf222  0.756509028 3.80642402
389396 GLYATL3  0 0.074341092
389421 LIN28B  2.307233928 0
389432 SAMD5  2.806315879 2.043056532
389434 IYD  2.911612772 4.052978286
3895 KTN1  3.887265823 4.119110993
389524 GTF2IRD2B  0 0.074341092
389541 LAMTOR4  2.926871568 3.412011369
389549 FEZF1  0 0
389558 FAM180A  0 1.308628866
389610 XKR5  0.132214463 0.143535956
389643 NUGGC  0.24897202 1.755233408
389658 ALKAL1  0 0.571963007
389668 XKR9  2.669208313 0.480815757
389677 RBM12B  2.659363242 3.222004419
389690 MROH5  0 0
389692 MAFA  0 0.074341092
3897 L1CAM  1.683049873 2.441971791
389766 C9orf153  0 0
389792 IER5L  2.872414964 2.513218821
389799 CFAP77  0 0
3898 LAD1  3.608311279 4.453983836
389812 LCN15  0 1.198525417
389816 LRRC26  0 2.884864433
389827 MYMK  0 0
389840 MAP3K15  0.24897202 0
389856 USP27X  0 0.208251188
389860 PAGE2B  0 0
389874 ZCCHC13  0 0
3899 AFF3  0 1.498022909
389941 C1QL3  0 0
39 ACAT2  5.132810809 3.225077017
390 RND3  4.741865426 3.850058198
390010 NKX1-2  0.132214463 0.074341092
3902 LAG3  0 2.959601107
390205 LRRC10B  0.448149231 0.694777878
390259 BSX  0 0
3903 LAIR1  0 3.040272122
3904 LAIR2  0 0
390443 RNASE9  0 0
390594 KBTBD13  0 0.074341092
390595 UBAP1L  0 0.143535956
390598 SKOR1  0 0
390616 ANKRD34C  0 0
390637 GDPGP1  0.881090702 1.794475823
390667 PTX4  0 0
390790 ARL5C  0 0
390792 KRT39  0 0
3908 LAMA2  0 2.935304254
390874 ONECUT3  0 0.326328672
3909 LAMA3  2.463243134 3.746330782
390916 NUDT19  3.536873448 3.301820396
390927 ZNF793  0 0.732578551
390928 ACP7  0.24897202 0
390980 ZNF805  1.782947003 2.062867456
390992 HES3  0 0
391 RHOG  4.007276334 4.887782783
3910 LAMA4  0 3.218922351
391059 FRRS1  1.758892628 2.053011053
3911 LAMA5  5.240996638 3.237273863
391123 VSIG8  0 0
3912 LAMB1  4.85483194 3.744507486
391253 SPINT4  0 0
3913 LAMB2  3.390967686 4.889526506
391356 PTRHD1  3.720514385 3.206498199
391365 SULT6B1  0 0
3914 LAMB3  2.264107988 2.789967047
3915 LAMC1  4.696464667 3.515854615
3916 LAMP1  5.447829985 5.591934701
391712 TRIM61  0 0.655491988
3918 LAMC2  2.438873818 1.937649002
392 ARHGAP1  3.710189918 4.178778747
3920 LAMP2  4.511319912 4.529183988
3921 RPSA  4.159562069 3.181177001
392255 GDF6  0 0.074341092
392307 FAM221B  0 0
392399 LCN9  0 0
392465 GLOD5  0 2.543998492
3925 STMN1  4.728210362 3.222004419
392509 ARL13A  0 0
392636 AGMO  0 4.450386573
3927 LASP1  4.92087839 6.364821275
392862 GRID2IP  0 0.269031705
3929 LBP  0 0.074341092
393 ARHGAP4  1.413366475 2.053011053
3930 LBR  4.4877552 4.040839885
3931 LCAT  0 0.074341092
3932 LCK  0.353511395 2.543998492
3932 LCK 04660+2.7.10.2 0.353511395 2.543998492
3933 LCN1  0 0
3934 LCN2  0 2.608553038
3936 LCP1  4.274133592 4.032664982
3937 LCP2  0 3.434656255
3938 LCT  0.687869026 7.622188409
3939 LDHA  6.737517584 7.251760498
3939 LDHA 00010+1.1.1.27 6.737517584 7.251760498
3939 LDHA 00270+1.1.1.27 6.737517584 7.251760498
3939 LDHA 00620+1.1.1.27 6.737517584 7.251760498
3939 LDHA 00640+1.1.1.27 6.737517584 7.251760498
394 ARHGAP5  2.521688396 2.979407052
394263 MUC21  0 0
3945 LDHB  7.1967542 4.336981237
3945 LDHB 00010+1.1.1.27 7.1967542 4.336981237
3945 LDHB 00270+1.1.1.27 7.1967542 4.336981237
3945 LDHB 00620+1.1.1.27 7.1967542 4.336981237
3945 LDHB 00640+1.1.1.27 7.1967542 4.336981237
3948 LDHC  0 0.769002227
3948 LDHC 00010+1.1.1.27 0 0.769002227
3948 LDHC 00270+1.1.1.27 0 0.769002227
3948 LDHC 00620+1.1.1.27 0 0.769002227
3948 LDHC 00640+1.1.1.27 0 0.769002227
3949 LDLR  3.366878782 3.527258347
395 ARHGAP6  0.132214463 2.487894233
3950 LECT2  0.132214463 0
3952 LEP  0 0.143535956
3953 LEPR  0.448149231 2.208635513
3954 LETM1  3.214412643 3.522712448
3955 LFNG  1.829386548 3.174745236
3955 LFNG 00514+2.4.1.222 1.829386548 3.174745236
3956 LGALS1  1.758892628 4.817291109
3957 LGALS2  3.615942734 4.415551269
3958 LGALS3  5.892858402 6.967463981
3959 LGALS3BP  3.225707445 5.185024012
396 ARHGDIA  4.33890895 5.212727114
3960 LGALS4  0.24897202 7.762182107
3964 LGALS8  3.737488428 3.87278801
3965 LGALS9  0 4.132819095
397 ARHGDIB  3.376584087 4.983148085
3972 LHB  0 0
3973 LHCGR  0 0.143535956
3975 LHX1  0 0
3976 LIF  0.881090702 0.804145711
3977 LIFR  0 3.058556995
3978 LIG1  3.656905442 2.726362781
398 ARHGDIG  0 2.831744662
3980 LIG3  3.290921549 2.813391962
3981 LIG4  1.683049873 2.258249804
3982 LIM2  0 0
3983 ABLIM1  4.109786425 4.681077051
3984 LIMK1  2.707647058 1.991740968
3985 LIMK2  2.659363242 3.200227754
3987 LIMS1  3.588973888 3.456799685
3988 LIPA  3.767334017 6.077358673
399 RHOH  0 2.550042351
3990 LIPC 00561+3.1.1.3 2.249309233 0.326328672
3991 LIPE  0 0
3992 FADS1  4.46849527 2.02284519
3993 LLGL2  3.860838347 4.046252928
399474 TMEM200B  0.24897202 0.769002227
3995 FADS3  2.375218443 1.531948785
399512 SLC25A35  1.224658046 2.25014982
3996 LLGL1  2.307233928 0.902722703
399664 MEX3D  2.361986271 1.755233408
399665 FAM102A  3.054637263 5.129946892
399668 SMIM10L2A  0.24897202 0.326328672
399687 MYO18A  2.848136915 3.434656255
399694 SHC4  0 0.326328672
399726 CASC10  0.881090702 0.208251188
3998 LMAN1  4.057402785 4.531678879
399814 C10orf120  0 0
399818 EEF1AKMT2  3.494863609 3.12174528
399823 FOXI2  0 0
399909 PCNX3  2.896117533 3.69013177
399947 C11orf87  0 0
399949 C11orf88  0 0
399967 PATE2  0.132214463 0
399968 PATE4  0 0
399979 SNX19  3.656905442 3.724228713
40 ASIC2  0 0
400 ARL1  4.721941335 4.410875994
4000 LMNA  3.957209827 4.635713078
400073 C12orf76  2.015201814 2.258249804
4001 LMNB1  4.398005103 3.281731199
400120 SERTM1  0 0.208251188
400224 PLEKHD1  0 0
400258 C14orf180  0 0.143535956
400359 C15orf53  0 0.269031705
4004 LMO1  0 0
400451 FAM174B  3.881453111 2.631031235
4005 LMO2  0.132214463 2.062867456
400506 KNOP1  2.426462782 1.714387903
400566 C17orf97  0.24897202 1.781565372
400569 MED11  2.249309233 2.991105021
400629 TEX19  1.629091327 0
400668 PRSS57  0 0
400673 VMAC  1.447182629 2.233750324
4007 PRICKLE3  1.60097944 1.948704004
400713 ZNF880  0.687869026 2.58555793
400720 ZNF772  0 1.781565372
400745 SH2D5  0.353511395 0
400746 NCMAP  0 1.98115412
400757 C1orf141  0 0.074341092
400793 C1orf226  0 1.991740968
4008 LMO7  4.642116034 5.085120576
400818 NBPF9  0.991857044 1.308628866
400823 FAM177B  0 1.856640286
400830 DEFB132  0 0
400891 LRRC74B  0 0
4009 LMX1A  0 0.480815757
400916 CHCHD10  5.138631671 5.91986663
400935 IL17REL  0 0
400950 C2orf91  0 0
400954 EML6  0.614168056 0.480815757
400961 PAIP2B  2.831617782 2.174136756
401 PHOX2A  0 0.870931311
4010 LMX1B  2.087862681 0.208251188
401024 FSIP2  0 1.308628866
401067 IQCF3  0 0
401081 C3orf85  0.132214463 3.84346793
401089 FOXL2NB  0.132214463 0
401097 C3orf80  1.137927892 0.208251188
401115 C4orf48  2.880378407 1.564761363
401124 DTHD1  0 1.020652778
401137 PRR27  0 0.143535956
401138 AMTN  0 0
401145 CCSER1  0.132214463 3.231194035
401152 C4orf3  4.534342088 5.189766509
401190 RGS7BP  0 1.308628866
4012 LNPEP  2.971298811 3.821744571
401207 C5orf63  1.629091327 1.832236244
401236 STMND1  0 0.074341092
401250 MCCD1  0 0
401251 SAPCD1  0 0.074341092
401262 CRIP3  0 1.020652778
401265 KLHL31  0 0
4013 VWA5A  0.820738686 3.449472888
401397 SMIM30  0.881090702 1.048083542
401399 PRRT4  0 0.208251188
4014 LOR  0 0
401409 RAB19  0.820738686 1.959638129
401466 C8orf59  5.109182503 4.387166014
401474 SAMD12  2.033867958 3.017879593
401494 HACD4 00062+4.2.1.134 0 2.705949504
401498 TMEM215  0 0
4015 LOX  1.758892628 2.32079084
401505 TOMM5  5.158335537 3.947015485
401541 CENPP  2.139090722 1.728189277
401546 C9orf152  0.614168056 3.24331695
401548 SNX30  2.566103389 2.884864433
401551 WDR38  0 0
401562 LCNL1  0 0.074341092
401565 FAM166A  0 0
4016 LOXL1  0.756509028 1.892164759
401612 SLC25A53  1.542267634 2.775644102
401613 SERTM2  0.614168056 0.208251188
401647 GOLGA7B  0 1.970453991
4017 LOXL2  0.24897202 2.804087739
4018 LPA  0 0
401934 RNF223  0.448149231 0.074341092
402 ARL2  2.903895165 2.372478991
402055 SRRD  3.027622188 2.653015251
402117 VWC2L  0 0
402160 CFAP99  0.132214463 0.326328672
4023 LPL  0 1.642370539
402381 SOHLH1  2.678957404 0
402415 XKRX  1.806436331 1.444873278
4025 LPO  0 0
4025 LPO 00940+1.11.1.7 0 0
402573 C7orf61  0 0
4026 LPP  3.516089116 5.015409657
402665 IGLON5  0 0.143535956
402682 UFSP1  0.820738686 0.769002227
402778 IFITM10  0.132214463 0.902722703
403 ARL3  3.208717039 3.021646676
4033 LRMP  1.734245349 2.669191799
403313 PLPP6  1.342097258 2.46191161
403314 APOBEC4  0 0.143535956
403341 ZBTB34  1.447182629 1.287556692
4034 LRCH4  3.214412643 3.757201287
4035 LRP1  2.872414964 4.560335127
4036 LRP2  4.189994273 0
4037 LRP3  1.829386548 2.32079084
4038 LRP4  0.756509028 1.959638129
4040 LRP6  2.956707944 2.519451013
404037 HAPLN4  0 0.269031705
404093 CUEDC1  1.656434496 1.612045753
4041 LRP5  2.789085137 3.218922351
404203 SPINK6  0 0
404217 CTXN1  2.375218443 1.580772539
404220 C6orf201  0 0
4043 LRPAP1  4.460359515 4.16088828
4045 LSAMP  0 1.329266151
404550 C16orf74  0.938006738 0.804145711
404552 SCGB1D4  0 0
4046 LSP1  0 3.972036744
404672 GTF2H5  3.486245633 2.736415253
4047 LSS  4.035156273 3.386233936
4048 LTA4H  4.559808787 4.838293047
4048 LTA4H 00590+3.3.2.6 4.559808787 4.838293047
4049 LTA  0 0.269031705
405 ARNT  2.744662795 3.335347049
4050 LTB  0 1.948704004
4051 CYP4F3  0.534599975 3.823432456
4052 LTBP1  3.285646565 3.780356336
4053 LTBP2  0.24897202 1.892164759
4054 LTBP3  2.498718545 3.573782722
4055 LTBR  4.125894484 4.585048258
4056 LTC4S  0.534599975 1.580772539
4057 LTF  0.614168056 0.571963007
405753 DUOXA2  0.132214463 0.074341092
405754 ERVFRD-1  0.24897202 0.208251188
4058 LTK  0 1.174971477
4059 BCAM  4.392774733 3.225077017
406 ARNTL  1.829386548 2.979407052
4060 LUM  0.938006738 5.184591759
4061 LY6E  5.911022629 3.551897986
4062 LY6H  0 1.349486137
4063 LY9  0 1.880462931
4064 CD180  0 2.002216907
4066 LYL1  0 1.150849339
4067 LYN 04660+2.7.10.2 2.475208651 3.8647294
4068 SH2D1A  0 1.221537312
4069 LYZ  3.074430159 7.265723216
407 ARR3  0 0
4070 TACSTD2  4.107463946 0.269031705
4071 TM4SF1  4.543404574 4.097549077
4072 EPCAM  6.841971475 7.348422821
4074 M6PR  4.724453664 3.695895943
4076 CAPRIN1  5.17125901 4.944328309
4077 NBR1  3.645899165 4.685359842
407738 FAM19A1  0 0.143535956
408 ARRB1  3.943606932 3.753590899
408050 NOMO3  0 0.074341092
4081 MAB21L1  0 0.694777878
4082 MARCKS  5.968689974 5.759720681
408263 FNDC9  0 0.074341092
4084 MXD1  2.249309233 5.367060468
4085 MAD2L1  3.927035377 1.768486059
4086 SMAD1  1.09156854 3.329836751
4087 SMAD2  2.544142459 3.624430977
4088 SMAD3  2.823254745 3.520431725
4089 SMAD4  3.149902323 4.489262178
409 ARRB2  2.999856987 4.145120013
4090 SMAD5  4.23602033 3.480841749
4091 SMAD6  1.09156854 1.98115412
4092 SMAD7  0 1.349486137
4093 SMAD9  0 1.926470418
4094 MAF  0.687869026 5.773010852
4097 MAFG  1.916257086 2.407828926
4099 MAG  0 0.143535956
41 ASIC1  1.683049873 1.174971477
410 ARSA  1.708975197 3.442092013
4100 MAGEA1  0 0
4103 MAGEA4  0 0
4107 MAGEA8  0 0
4109 MAGEA10  0 0
411 ARSB  2.463243134 2.120048916
4110 MAGEA11  0 0
4111 MAGEA12  0 0
4112 MAGEB1  0 0
4113 MAGEB2  0 0
4115 MAGEB4  0 0
4116 MAGOH  4.950334868 4.364844909
4117 MAK  0.448149231 0.269031705
4118 MAL  0 1.714387903
412 STS  4.112103524 0.992448294
4121 MAN1A1 00510+3.2.1.113 1.957017105 4.141445599
4121 MAN1A1 00513+3.2.1.113 1.957017105 4.141445599
4122 MAN2A2  2.375218443 3.354397437
4123 MAN2C1  2.219038051 3.434656255
4124 MAN2A1  3.27501238 4.438605287
4125 MAN2B1  2.919271274 3.801264562
4126 MANBA  3.623516391 2.987220883
4126 MANBA 00052+3.2.1.23 3.623516391 2.987220883
4126 MANBA 00511+3.2.1.23 3.623516391 2.987220883
4126 MANBA 00531+3.2.1.23 3.623516391 2.987220883
4126 MANBA 00600+3.2.1.23 3.623516391 2.987220883
4126 MANBA 00604+3.2.1.23 3.623516391 2.987220883
4128 MAOA  0 6.137817082
4129 MAOB  0.353511395 4.622906469
4130 MAP1A  1.378366645 2.854221791
4131 MAP1B  0 3.565086216
4133 MAP2  0 1.266030907
4134 MAP4  4.663678047 4.872541782
4135 MAP6  2.629232762 0.838095947
4137 MAPT  0.756509028 1.287556692
4139 MARK1 04150+2.7.11.1 0 1.856640286
4139 MARK1 04151+2.7.11.1 0 1.856640286
4139 MARK1 04714+2.7.11.1 0 1.856640286
4139 MARK1 04926+2.7.11.1 0 1.856640286
4139 MARK1 05165+2.7.11.1 0 1.856640286
414 ARSD  0.534599975 3.686270446
4140 MARK3 04150+2.7.11.1 3.173844884 3.518145789
4140 MARK3 04151+2.7.11.1 3.173844884 3.518145789
4140 MARK3 04714+2.7.11.1 3.173844884 3.518145789
4140 MARK3 04926+2.7.11.1 3.173844884 3.518145789
4140 MARK3 05165+2.7.11.1 3.173844884 3.518145789
4141 MARS  4.40666205 3.362452086
4141 MARS 00450+6.1.1.10 4.40666205 3.362452086
4141 MARS 00970+6.1.1.10 4.40666205 3.362452086
414149 ACBD7  2.73553652 0.208251188
414152 C10orf105  0 0.074341092
414157 C10orf62  0 0
414235 PRR26  2.659363242 2.741403847
4143 MAT1A 00270+2.5.1.6 1.629091327 0
414301 DDI1  0 0
414328 IDNK  0.881090702 2.971531685
414328 IDNK 00030+2.7.1.12 0.881090702 2.971531685
414328 IDNK 00400+2.7.1.71 0.881090702 2.971531685
414332 LCN10  0 0.431924683
4144 MAT2A 00270+2.5.1.6 5.086730499 5.091784228
4145 MATK  0 1.686200232
4145 MATK 04660+2.7.10.2 0 1.686200232
4146 MATN1  0 0
4147 MATN2  1.511566348 4.390997592
4148 MATN3  1.976790566 0.208251188
4149 MAX  3.706724605 4.883702234
414918 DENND6B  0.881090702 0.804145711
414919 C8orf82  2.532978449 3.34082715
415 ARSE  3.898790854 2.765980216
4150 MAZ  4.404936645 4.357951438
4151 MB  0.132214463 1.020652778
415116 PIM3 04150+2.7.11.1 2.762669218 3.858235424
415116 PIM3 04151+2.7.11.1 2.762669218 3.858235424
415116 PIM3 04714+2.7.11.1 2.762669218 3.858235424
415116 PIM3 04926+2.7.11.1 2.762669218 3.858235424
415116 PIM3 05165+2.7.11.1 2.762669218 3.858235424
415117 STX19  0 2.556049901
4152 MBD1  1.957017105 3.114918329
4153 MBL2  0.353511395 0
4154 MBNL1  4.042626902 5.532064222
4155 MBP  1.873764832 3.910590304
4158 MC2R  0 0
4160 MC4R  0 0
4162 MCAM  0.938006738 3.612007369
4163 MCC  0 1.580772539
4166 CHST6  0.756509028 0.208251188
4168 MCF2  0 0
417 ART1  0 0
4170 MCL1  4.537372051 5.228574264
4171 MCM2  4.246191817 1.903731237
4172 MCM3  4.663678047 2.947526471
4173 MCM4  4.676921968 2.726362781
4174 MCM5  4.050042134 2.789967047
4175 MCM6  4.369788243 3.108044451
4176 MCM7  4.458724391 3.029138535
4179 CD46  5.104045833 5.444996134
4184 SMCP  0 0
4185 ADAM11  0 0
4188 MDFI  0 0.326328672
4189 DNAJB9  3.357078361 3.782115482
419 ART3  0 1.349486137
4190 MDH1  5.231218996 4.858862961
4190 MDH1 00020+1.1.1.37 5.231218996 4.858862961
4190 MDH1 00270+1.1.1.37 5.231218996 4.858862961
4190 MDH1 00620+1.1.1.37 5.231218996 4.858862961
4190 MDH1 00630+1.1.1.37 5.231218996 4.858862961
4190 MDH1 00680+1.1.1.37 5.231218996 4.858862961
4190 MDH1 00710+1.1.1.37 5.231218996 4.858862961
4190 MDH1 00720+1.1.1.37 5.231218996 4.858862961
4191 MDH2  5.767543119 5.591071257
4191 MDH2 00020+1.1.1.37 5.767543119 5.591071257
4191 MDH2 00270+1.1.1.37 5.767543119 5.591071257
4191 MDH2 00620+1.1.1.37 5.767543119 5.591071257
